,event_type,page,pb,pl,pr,pt,slug,tb,timestamp,tl,tr,tt,type,x,y
0,3.0,1,1071.0,723,1180,389.0,growing-my-sunflower,179,0.0,643,1260,114,SampleFixation,953.5508286399681,161.91239495434567
1,,1,1071.0,723,1180,389.0,growing-my-sunflower,179,0.0,643,1260,114,SampleGaze,951.0229681889872,169.42149724478497
2,3.0,1,1071.0,723,1180,389.0,growing-my-sunflower,179,31.403969325008802,643,1260,114,SampleFixation,959.7776380818269,165.7021339960477
3,,1,1071.0,723,1180,389.0,growing-my-sunflower,179,31.403969325008802,643,1260,114,SampleGaze,959.3367864793781,170.31210272940112
4,,1,1071.0,723,1180,389.0,growing-my-sunflower,179,63.48456980404444,643,1260,114,SampleGaze,971.7923085781304,173.02425077287106
5,3.0,1,1071.0,723,1180,389.0,growing-my-sunflower,179,63.48456980404444,643,1260,114,SampleFixation,964.1766130685623,167.32075739595126
6,3.0,1,1071.0,723,1180,389.0,growing-my-sunflower,179,94.79287242749706,643,1260,114,SampleFixation,959.1641377167373,165.99029109885012
7,,1,1071.0,723,1180,389.0,growing-my-sunflower,179,94.79287242749706,643,1260,114,SampleGaze,960.7839174255879,167.98696152650643
8,,1,1071.0,723,1180,389.0,growing-my-sunflower,179,126.78660314297304,643,1260,114,SampleGaze,957.4462043855539,168.44648315153464
9,3.0,1,1071.0,723,1180,389.0,growing-my-sunflower,179,126.78660314297304,643,1260,114,SampleFixation,964.0372087619597,170.76954942050125
13,2.0,2,886.0,659,1243,14.0,growing-my-sunflower,946,126.78660314297304,675,1228,887,SampleFixation,973.783350852405,180.32806606380325
10,,1,1071.0,723,1180,389.0,growing-my-sunflower,179,158.8173543062294,643,1260,114,SampleGaze,965.6219421959375,227.8948330562197
11,,1,1071.0,723,1180,389.0,growing-my-sunflower,179,189.90023539133836,643,1260,114,SampleGaze,982.7886238601737,365.6743229723395
14,1.0,2,886.0,659,1243,14.0,growing-my-sunflower,946,189.90023539133836,675,1228,887,SampleFixation,984.5187344006564,398.36914286778074
12,,2,886.0,659,1243,14.0,growing-my-sunflower,946,221.16382024623454,675,1228,887,SampleGaze,986.2280267194036,406.00507481698855
15,,2,886.0,659,1243,14.0,growing-my-sunflower,946,252.52710373268928,675,1228,887,SampleGaze,984.6659449269278,400.77884280656906
16,,2,886.0,659,1243,14.0,growing-my-sunflower,946,283.80498361203354,675,1228,887,SampleGaze,979.9081120400122,395.8313620815042
17,3.0,2,886.0,659,1243,14.0,growing-my-sunflower,946,283.80498361203354,675,1228,887,SampleFixation,982.9197078599635,397.57738329742335
18,3.0,2,886.0,659,1243,14.0,growing-my-sunflower,946,314.8449796240311,675,1228,887,SampleFixation,981.3424183586106,405.97018416440915
19,,2,886.0,659,1243,14.0,growing-my-sunflower,946,314.8449796240311,675,1228,887,SampleGaze,979.3056470348164,405.9931054766042
20,3.0,2,886.0,659,1243,14.0,growing-my-sunflower,946,345.7992054898059,675,1228,887,SampleFixation,977.11732847185,405.6660842685938
21,,2,886.0,659,1243,14.0,growing-my-sunflower,946,345.7992054898059,675,1228,887,SampleGaze,970.3821755122127,406.53017878828143
22,3.0,2,886.0,659,1243,14.0,growing-my-sunflower,946,377.7291584042832,675,1228,887,SampleFixation,975.6563574027033,408.3696875492828
